timestamp,imagen,duracion_s,ram_used_MB,Volt,Curr,power
2025-07-10 00:14:50,000044.jpg,0.324,3550356,5096,1008,5136
2025-07-10 00:14:51,000045.jpg,0.114,3551160,5096,1000,5096
2025-07-10 00:14:52,000046.jpg,0.379,3549884,5096,992,5055
2025-07-10 00:14:53,000047.jpg,0.123,3548508,5096,1000,5096
2025-07-10 00:14:54,000048.jpg,0.312,3551680,5096,1000,5096
2025-07-10 00:14:55,000049.jpg,0.139,3558932,5112,912,4662
2025-07-10 00:14:57,000050.jpg,0.194,3560888,5096,976,4973
2025-07-10 00:14:58,000051.jpg,0.282,3573392,5096,1000,5055
2025-07-10 00:14:59,000052.jpg,0.114,3578228,5096,1008,5136
2025-07-10 00:15:00,000053.jpg,0.198,3554752,5096,1024,5218
2025-07-10 00:15:01,000054.jpg,0.108,3558136,5096,1008,5136
2025-07-10 00:15:02,000055.jpg,0.162,3557496,5096,1008,5136
2025-07-10 00:15:03,000056.jpg,0.138,3557792,5096,992,5055
2025-07-10 00:15:04,000057.jpg,0.199,3554572,5096,1008,5136
2025-07-10 00:15:05,000058.jpg,0.147,3562728,5088,1024,5250
2025-07-10 00:15:06,000059.jpg,0.385,3579120,5096,1016,5177
2025-07-10 00:15:07,000060.jpg,0.198,3576232,5088,1024,5210
2025-07-10 00:15:08,000061.jpg,0.351,3567560,5112,904,4621
2025-07-10 00:15:10,000062.jpg,0.202,3551928,5096,1024,5177
2025-07-10 00:15:11,000063.jpg,0.278,3561764,5088,1024,5218
2025-07-10 00:15:12,000064.jpg,0.092,3549088,5096,992,5055
2025-07-10 00:15:13,000065.jpg,0.112,3556216,5096,976,4932
2025-07-10 00:15:14,000066.jpg,0.353,3562992,5088,1024,5210
2025-07-10 00:15:15,000067.jpg,0.092,3560732,5096,1000,5096
2025-07-10 00:15:16,000068.jpg,0.088,3568724,5088,1024,5169
2025-07-10 00:15:17,000069.jpg,0.158,3576640,5096,992,5055
2025-07-10 00:15:18,000070.jpg,0.316,3565024,5104,928,4736
2025-07-10 00:15:20,000071.jpg,0.152,3550540,5104,928,4736
2025-07-10 00:15:21,000072.jpg,0.104,3562988,5096,1008,5136
2025-07-10 00:15:22,000073.jpg,0.261,3560156,5096,992,5055
2025-07-10 00:15:23,000074.jpg,0.113,3561756,5104,944,4818
2025-07-10 00:15:24,000075.jpg,0.139,3565280,5096,1000,5096
2025-07-10 00:15:25,000076.jpg,0.113,3564644,5096,984,5014
2025-07-10 00:15:26,000077.jpg,0.352,3564924,5088,1032,5250
2025-07-10 00:15:27,000078.jpg,0.114,3573920,5096,976,4973
2025-07-10 00:15:28,000079.jpg,0.188,3579840,5104,928,4736
2025-07-10 00:15:30,000080.jpg,0.199,3581188,5096,1016,5169
2025-07-10 00:15:31,000081.jpg,0.102,3565304,5096,1016,5177
2025-07-10 00:15:32,000082.jpg,0.356,3574044,5096,992,5014
2025-07-10 00:15:33,000083.jpg,0.109,3554548,5096,1000,5096
2025-07-10 00:15:34,000084.jpg,0.159,3567216,5096,968,4932
2025-07-10 00:15:35,000085.jpg,0.202,3556112,5104,944,4818
2025-07-10 00:15:36,000086.jpg,0.143,3562260,5088,1016,5177
2025-07-10 00:15:37,000087.jpg,0.123,3591948,5088,1016,5169
2025-07-10 00:15:38,000088.jpg,0.346,3586080,5096,1016,5177
2025-07-10 00:15:39,000089.jpg,0.535,3598216,5096,1016,5177
2025-07-10 00:15:40,000090.jpg,0.138,3566756,5096,984,5014
2025-07-10 00:15:42,000091.jpg,0.247,3557508,5096,976,4973
2025-07-10 00:15:43,000092.jpg,0.114,3577908,5096,1008,5096
2025-07-10 00:15:44,000093.jpg,0.111,3577696,5096,1000,5096
2025-07-10 00:15:45,000094.jpg,0.141,3560168,5104,968,4932
2025-07-10 00:15:46,000095.jpg,0.181,3559928,5096,976,4973
2025-07-10 00:15:47,000096.jpg,0.229,3585904,5096,992,5055
2025-07-10 00:15:48,000097.jpg,0.199,3575644,5104,952,4859
2025-07-10 00:15:50,000098.jpg,0.186,3576080,5096,992,5014
2025-07-10 00:15:51,000099.jpg,0.326,3575712,5096,1008,5136
2025-07-10 00:15:52,000100.jpg,0.108,3583096,5096,1016,5218
2025-07-10 00:15:53,000101.jpg,0.148,3573428,5096,976,4973
2025-07-10 00:15:54,000102.jpg,0.148,3564404,5096,1000,5169
2025-07-10 00:15:55,000103.jpg,0.234,3574972,5104,920,4695
2025-07-10 00:15:57,000104.jpg,0.309,3590052,5096,976,4973
2025-07-10 00:15:58,000105.jpg,0.12,3604396,5096,1016,5177
2025-07-10 00:15:59,000106.jpg,0.145,3602184,5096,1016,5136
2025-07-10 00:16:00,000107.jpg,0.107,3575004,5096,976,4973
2025-07-10 00:16:02,000108.jpg,0.216,3566268,5096,1000,5055
2025-07-10 00:16:03,000109.jpg,0.142,3586600,5096,1000,5096
2025-07-10 00:16:04,000110.jpg,0.098,3574980,5096,1000,5096
2025-07-10 00:16:05,000111.jpg,0.206,3572768,5104,968,4940
2025-07-10 00:16:07,000112.jpg,0.164,3577740,5104,944,4818
2025-07-10 00:16:08,000113.jpg,0.178,3601832,5096,1008,5136
2025-07-10 00:16:09,000114.jpg,0.13,3589960,5096,976,4973
2025-07-10 00:16:11,000115.jpg,0.192,3587468,5104,904,4614
2025-07-10 00:16:12,000116.jpg,0.127,3581420,5096,976,4973
2025-07-10 00:16:13,000117.jpg,0.138,3571664,5096,1016,5177
2025-07-10 00:16:14,000118.jpg,0.345,3575832,5104,952,4859
2025-07-10 00:16:16,000119.jpg,0.146,3582316,5104,936,4777
2025-07-10 00:16:17,000120.jpg,0.23,3583012,5096,992,5055
2025-07-10 00:16:18,000121.jpg,0.173,3595108,5096,984,5014
2025-07-10 00:16:19,000122.jpg,0.139,3582752,5104,960,4899
2025-07-10 00:16:21,000123.jpg,0.179,3594032,5096,968,4932
2025-07-10 00:16:22,000124.jpg,0.226,3582604,5096,976,4973
2025-07-10 00:16:23,000125.jpg,0.13,3570540,5096,976,4973
2025-07-10 00:16:24,000126.jpg,0.365,3568464,5104,928,4736
2025-07-10 00:16:26,000127.jpg,0.265,3575956,5096,1000,5136
2025-07-10 00:16:27,000128.jpg,0.096,3584248,5096,1000,5096
2025-07-10 00:16:28,000129.jpg,0.144,3590660,5104,904,4621
2025-07-10 00:16:30,000130.jpg,0.118,3604420,5096,992,5055
2025-07-10 00:16:31,000131.jpg,0.131,3619020,5096,1000,5096
2025-07-10 00:16:32,000132.jpg,0.154,3582932,5096,1016,5177
